Waypoint,Cthcm,Latitude,Longitude,Distance,Aspect,Slope,Prof Curv,Plan Curv,Vegetation,pH,Moisture,Sample depth,BD,LOI,TC 
wp1a,906,67.11955556,-50.25119444,5,W,3,+,-,Blow out,6.8,4.5,0-5,1.08,2.04,20383.73754
wp2a,906,67.11966667,-50.25130556,5,W,5,0,-,Mixed,6.3,5.5,0-5,0.35,6.99,69872.6047
wp3a,906,67.11986111,-50.25091667,5,W,5,0,0,Grass,6.5,7.5,0-5,0.92,2.92,29193.31545
wp4a,906,67.12022222,-50.25069444,5,W,20,0,0,Shrub,6.7,6,0-5,0.57,4.14,41372.03579
wp5a,906,67.12044444,-50.25036111,5,W,3,+,0,Mixed,6.6,6.5,0-5,0.56,5.89,58908.30481
wp6a,906,67.12111111,-50.24952778,5,W,3,-,+,Grass,6.8,8,0-5,0.50,5.12,51206.58672
wp7a,906,67.12133333,-50.25005556,5,SW,3,0,0,Shrub,5.2,5,0-5,0.75,2.18,21824.0668
wp8a,906,67.12158333,-50.25033333,5,SW,0,0,0,Grass,6.8,7.5,0-5,0.87,2.55,25505.55318
wp9a,906,67.12208333,-50.251,5,SW,20,+,+,Grass,6.6,6,0-5,1.11,2.61,26058.2866
wp10a,906,67.12211111,-50.25158333,5,SW,0,0,0,Moss,6.8,8,0-5,0.65,4.25,42477.82725
wp11a,906,67.12233333,-50.25241667,5,S,20,0,+,Grass,6.8,7.5,0-5,0.82,2.46,24631.96293
wp12a,906,67.12241667,-50.25263889,5,S,5,-,+,Shrub,6.6,5.5,0-5,0.60,5.01,50123.67912
wp13a,906,67.12236111,-50.25352778,5,S,45,0,0,Grass,7,4.2,0-5,1.14,2.57,25736.78207
wp14a,906,67.12227778,-50.25391667,5,S,45,0,+,Shrub,6.4,7,0-5,0.93,3.23,32344.60852
wp15a,906,67.12177778,-50.25441667,5,S,20,0,0,Blow out,6.9,6.5,0-5,0.45,5.36,53553.61596
wp16a,906,67.12161111,-50.25447222,5,S,20,-,+,Shrub,7,1.5,0-5,0.75,2.33,23290.11301
wp17a,906,67.12138889,-50.25508333,5,S,20,0,-,Shrub,6.5,8,0-5,0.99,3.29,32897.87727
wp18a,906,67.12116667,-50.25544444,5,S,0,0,0,Mixed ,6.4,7.5,0-5,0.57,6.25,62491.30877
wp19a,906,67.12088889,-50.25708333,5,S,10,-,-,Shrub,6.6,7,0-5,0.74,4.88,48811.55787
wp20a,906,67.12111111,-50.25780556,5,S,45,0,0,Blow out,6.8,2.5,0-5,1.36,1.14,11424.29672
wp21a,906,67.12091667,-50.25888889,5,S,10,-,+,Shrub,6.7,7.5,0-5,0.86,2.31,23053.11401
wp22a,906,67.12083333,-50.25941667,5,S,10,0,0,Shrub,6.5,8,0-5,0.53,5.44,54428.47206
wp23a,906,67.12069444,-50.26030556,5,S,45,-,0,Grass,6.8,8,0-5,0.88,3.47,34682.13977
wp24a,906,67.12063889,-50.26038889,5,S,0,0,0,Grass,6.2,8,0-5,0.55,4.70,47030.59782
wp25a,906,67.12063889,-50.26141667,5,S,45,-,+,Grass,7,1.5,0-5,1.08,2.45,24478.98382
wp26a,906,67.12061111,-50.26216667,5,S,25,-,+,Grass,6.7,2,0-5,1.11,1.84,18353.32817
wp27a,906,67.12072222,-50.26266667,5,SE,20,-,-,Mixed,6.9,4,0-5,1.27,1.60,15956.55289
wp28a,906,67.12066667,-50.26344444,5,E,0,0,0,Grass,6.5,8,0-5,1.06,2.40,24009.27575
wp29a,906,67.12052778,-50.26355556,5,E,20,0,-,Moss,6.7,7,0-5,1.09,2.43,24321.72891
wp30a,906,67.12013889,-50.26352778,5,NE,20,0,0,Mixed,6.6,5,0-5,0.96,3.20,31959.35498
wp31a,906,67.11994444,-50.26316667,5,NE,5,-,+,Shrub,6.5,7,0-5,1.00,3.31,33114.03269
wp32a,906,67.11972222,-50.26277778,5,NE,45,-,0,Moss,6.6,8,0-5,0.89,3.25,32493.45032
wp33a,906,67.11947222,-50.26136111,5,NE,0,0,0,Mixed,6.6,7,0-5,0.96,2.26,22564.7858
wp34a,906,67.11908333,-50.2605,5,N,5,0,-,Moss,6.4,8,0-5,0.73,3.71,37060.20328
wp35a,906,67.11894444,-50.25894444,5,N,20,0,0,Grass,6.7,5.5,0-5,1.11,2.02,20237.68439
wp36a,906,67.11902778,-50.25805556,5,N,20,0,0,Mixed,6.6,7.5,0-5,0.97,3.52,35226.65959
