Ctchmnt,Al  ,Si ,K   ,Ca,Ti,Fe
85,11.76,58.27,6.98,7.79,1.95,13.25
85,14.10,62.66,4.51,12.76,0.48,5.49
85,7.79,51.19,8.76,18.12,0.77,13.36
85,9.34,65.76,5.32,9.80,0.53,9.25
85,9.14,60.16,2.00,15.96,0.28,12.47
85,9.73,65.89,5.81,9.25,0.43,8.88
85,16.28,57.36,4.14,14.37,0.78,7.07
85,8.70,75.13,1.73,7.39,0.38,6.67
N2,4.85,80.47,0.98,6.21,0.37,7.14
N2,10.21,65.82,4.31,8.30,0.42,10.93
N2,8.91,37.66,18.33,10.22,1.27,23.61
N2,17.00,62.81,2.90,13.25,0.23,3.81
N2,10.80,51.04,4.70,15.71,0.98,16.77
N2,16.45,61.50,2.72,11.07,0.30,7.96
17b,17.06,52.95,2.30,20.61,1.59,5.49
17b,11.96,35.56,2.79,10.51,2.20,36.98
17b,7.55,52.51,1.30,12.13,0.66,25.84
17b,12.24,60.22,1.43,14.48,0.78,10.85
17b,9.77,65.73,1.85,10.26,0.80,11.59
17b,13.56,57.85,7.45,10.05,0.63,10.46
R,8.79,66.69,2.29,14.16,0.29,7.77
R,10.58,65.43,2.86,9.18,0.61,11.33
R,14.43,52.84,5.32,11.77,1.17,14.47
R,7.03,76.09,5.65,3.75,0.24,7.23
R,14.46,56.58,2.40,16.21,0.20,10.15
R,10.78,61.19,9.67,9.41,0.35,8.60
R,12.37,74.04,1.52,4.27,0.18,7.61
R,11.59,52.49,1.64,24.27,0.34,9.67
906,11.25,57.32,3.82,8.64,0.43,18.53
906,9.48,61.68,4.74,9.45,0.77,13.88
906,8.23,81.16,1.15,6.19,0.13,3.14
906,15.70,56.09,2.19,16.28,0.55,9.19
906,3.88,81.74,1.44,3.39,0.63,8.92
906,16.23,53.60,1.38,15.54,2.76,10.49
